R34 DIAGNOSTIC — REFERENCE RULES / SONS OF HORUS / NAMES
CAT revision=33

PLACEHOLDER RULES (805):
Daemonic Aura | The model gains a 5+ Invulnerable Save. | Daemonic Aura > Legiones Astartes | r47-wb-favour-aura-rule
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Seeker Squad > Legiones Astartes | r19-cult-r45-cult-fa-seeker-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Seeker Squad > Legiones Astartes | r19-cult-r45-cult-fa-seeker-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Seeker Squad > Legiones Astartes | r19-cult-r45-cult-fa-seeker-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Seeker Squad > Legiones Astartes | r19-cult-r45-cult-fa-seeker-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Seeker Squad > Legiones Astartes | r19-cult-r45-cult-fa-seeker-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Seeker Squad > Legiones Astartes | r19-cult-r45-cult-fa-seeker-4-mastery
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Seeker Squad > Legiones Astartes | live-r2-fabius-enhanced-fa-seeker-rule
Deep Strike | This unit has Deep Strike. | Legion Land Speeder Squadron > Legiones Astartes | fa-land-speeder-ds
Strafing Run | When shooting Assault, Heavy, Rapid Fire or Salvo weapons at ground units that are not Flyers or Skimmers, the vehicle gains +1 Ballistic Skill and all such shots count as Pinning, as defined in ProHammer Classic. | Legion Javelin Attack Speeder Squadron > Legiones Astartes | fa-javelin-strafe
Standard Wargear | 4 Legion Space Marines and 1 Legion Sergeant. Power Armour, Bolter, Bolt pistol and Frag grenades. The unit has Legiones Astartes; the Sergeant is a Character. | Legion Heavy Support Squad > Legiones Astartes | hs-hss-wargear
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Heavy Support Squad > Legiones Astartes | r71-nl-gen-8-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Heavy Support Squad > Legiones Astartes | r71-nl-bj-9-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Heavy Support Squad > Legiones Astartes | r19-cult-r45-cult-hs-heavy-support-squad-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Heavy Support Squad > Legiones Astartes | r19-cult-r45-cult-hs-heavy-support-squad-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Heavy Support Squad > Legiones Astartes | r19-cult-r45-cult-hs-heavy-support-squad-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Heavy Support Squad > Legiones Astartes | r19-cult-r45-cult-hs-heavy-support-squad-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Heavy Support Squad > Legiones Astartes | r19-cult-r45-cult-hs-heavy-support-squad-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Heavy Support Squad > Legiones Astartes | r19-cult-r45-cult-hs-heavy-support-squad-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Heavy Support Squad > Legiones Astartes | r19-cult-r45-cult-hs-heavy-support-squad-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Heavy Support Squad > Legiones Astartes | r19-cult-r45-cult-hs-heavy-support-squad-4-mastery
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Heavy Support Squad > Legiones Astartes | live-r2-fabius-enhanced-hs-heavy-support-squad-rule
Move Through Cover | This unit has Move Through Cover. | Leviathan Siege Dreadnought > Legiones Astartes | hs-lev-mtc
Legiones Astartes | The model has the Legiones Astartes special rule, also has And They Shall Know No Fear as presented in ProHammer Classic, and is not Fearless unless another rule says otherwise. | Legion Praetor > Legiones Astartes | hq-praetor-la
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Honour Guard Squad > Retinue (does not occupy a separate FOC slot) > Legion Praetor | r71-nl-gen-9-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Honour Guard Squad > Retinue (does not occupy a separate FOC slot) > Legion Praetor | r71-nl-bj-10-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Honour Guard Squad > Retinue (does not occupy a separate FOC slot) | live-r2-fabius-enhanced-hq-praetor-ret-honour-rule
Beyond Judgement | Under Horror Cult this unit purchases Beyond Judgement for +25 points. Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model; multiple Trophies penalties remain non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Terminator Command Squad > Retinue (does not occupy a separate FOC slot) > Legion Praetor | r73-nl-bj-11-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Praetor > Legiones Astartes | r19-cult-r45-cult-hq-praetor-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Praetor > Legiones Astartes | r19-cult-r45-cult-hq-praetor-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Praetor > Legiones Astartes | r19-cult-r45-cult-hq-praetor-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Praetor > Legiones Astartes | r19-cult-r45-cult-hq-praetor-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Praetor > Legiones Astartes | r19-cult-r45-cult-hq-praetor-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Praetor > Legiones Astartes | r19-cult-r45-cult-hq-praetor-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Praetor > Legiones Astartes | r19-cult-r45-cult-hq-praetor-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Praetor > Legiones Astartes | r19-cult-r45-cult-hq-praetor-4-mastery
Legiones Astartes | The model has the Legiones Astartes special rule, also has And They Shall Know No Fear as presented in ProHammer Classic, and is not Fearless unless another rule says otherwise. | Legion Centurion > Legiones Astartes | hq-centurion-la
Endurance | Blessing — friendly unit within 24”. The unit gains Eternal Warrior, Feel No Pain (5+) and Relentless. | Endurance > Psychic Powers > Legion Librarian Consul > Legion Consul Upgrade | r29-lib-power-5-rule
Scout | This unit has Scout. | Legion Moritat Consul > Legion Consul Upgrade > Legion Centurion > Legiones Astartes | r29-mor-scout
Counter-Attack | This unit has Counter-Attack. | Legion Moritat Consul > Legion Consul Upgrade > Legion Centurion > Legiones Astartes | r29-mor-counter
Adamantium Will | This unit has Adamantium Will. | Legion Primus Nullificator Consul > Legion Consul Upgrade > Legion Centurion > Legiones Astartes | r29-null-will
Scout | This unit has Scout. | Legion Vigilator Consul > Legion Consul Upgrade > Legion Centurion > Legiones Astartes | r29-vig-scout
Stealth | This unit has Stealth. | Legion Vigilator Consul > Legion Consul Upgrade > Legion Centurion > Legiones Astartes | r29-vig-stealth
Fleet | This unit has Fleet. | Vorax Class Battle-Automata Maniple > Praevian Battle-Automata Maniple > Legion Praevian Consul > Legion Consul Upgrade | r30-prae-vorax-fleet
Scout | This unit has Scout. | Vorax Class Battle-Automata Maniple > Praevian Battle-Automata Maniple > Legion Praevian Consul > Legion Consul Upgrade | r30-prae-vorax-scout
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Command Squad > Command Retinue (does not occupy a separate FOC slot) > Legion Centurion | r71-nl-gen-10-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > Command Retinue (does not occupy a separate FOC slot) > Legion Centurion | r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > Command Retinue (does not occupy a separate FOC slot) | live-r2-fabius-enhanced-hq-centurion-ret-command-rule
